Episode,Episode _Num,Segment,Traffic ,Height ,Strategy ,Coverage (%),Recovery (%),Time (s),Energy (%),,,Episode,Strategy,Traffic,Height,Coverage(%),Recovery(%),Energy(%),Time(s)
Ep_3,7.0,Calle_1 (1),Low,Low,Micro,68.42,0.0,59.23,3.290555556,,,,,,,,,,
Ep_3,8.0,Calle_1,Low,Low,Micro,62.16,0.0,58.44,3.246666667,,,,,,,,,,
Ep_3,9.0,Calle_1,Low,Low,Micro,33.33,0.0,60.07,3.337222222,,,,,,,,,,
Ep_3,10.0,Calle_1 (1),Low,Low,Micro,52.17,0.0,58.99,3.277222222,,,,,,,,,,
Ep_3,11.0,Calle_1 (3),Low,Low,Micro,72.97,0.0,59.35,3.297222222,,,,,,,,,,
Ep_3,12.0,Calle_1 (4),Low,Low,Micro,56.67,0.0,59.23,3.290555556,,,,,,,,,,
Ep_3,13.0,Calle_1,Low,Low,Micro,40.0,0.0,58.36,3.242222222,,,,,,,,,,
Ep_3,14.0,Calle_1 (1),Low,Low,Micro,62.5,0.0,58.01,3.222777778,,,,,,,,,,
Ep_3,15.0,Calle_1 (3),Low,Low,Micro,56.67,0.0,59.03,3.279444444,,,,,,,,,,
Ep_3,16.0,Calle_1 (4),Low,Low,Micro,60.0,0.0,58.67,3.259444444,,,,,,,,,,
Ep_3,17.0,Calle_1 (3),Low,Low,Micro,60.87,0.0,59.99,3.332777778,,,,,,,,,,
Ep_3,18.0,Calle_1 (6),Low,Low,Micro,76.19,0.0,59.47,3.303888889,,,,,,,,,,
Ep_3,19.0,Calle_1 (2),Low,Low,Micro,78.13,0.0,59.66,3.314444444,,,,,,,,,,
Ep_3,20.0,Calle_1 (3),Low,Low,Micro,73.91,0.0,58.94,3.274444444,,,,,,,,,,
Ep_4,1.0,Calle_1,Low,Low,Skip,32.0,8.0,86.33,4.796111111,,,,,,,,,,
Ep_4,2.0,Calle_1 (4),Low,Low,Skip,60.61,0.0,41.01,2.278333333,,,,,,,,,,
Ep_4,3.0,Calle_1 (3),Low,Low,Skip,69.44,0.0,55.56,3.086666667,,,,,,,,,,
Ep_4,4.0,Calle_1 (4),Low,Low,Skip,54.55,0.0,62.99,3.499444444,,,,,,,,,,
Ep_4,5.0,Calle_1 (1),Low,Low,Skip,36.36,0.0,50.04,2.78,,,,,,,,,,
Ep_4,6.0,Calle_1 (5),Low,Low,Skip,33.33,6.67,113.01,6.278333333,,,,,,,,,,
Ep_4,7.0,Calle_1 (6),Low,Low,Skip,62.5,0.0,48.24,2.68,,,,,,,,,,
Ep_4,8.0,Calle_1 (2),Low,Low,Skip,55.26,0.0,55.23,3.068333333,,,,,,,,,,
Ep_4,9.0,Calle_1 (3),Low,Low,Skip,38.1,9.52,105.03,5.835,,,,,,,,,,
Ep_4,10.0,Calle_1 (1),Low,Low,Skip,33.33,0.0,47.07,2.615,,,,,,,,,,
Ep_4,11.0,Calle_1 (4),Low,Low,Skip,39.29,7.14,64.53,3.585,,,,,,,,,,
Ep_4,12.0,Calle_1 (4),Low,Low,Skip,40.63,0.0,52.74,2.93,,,,,,,,,,
Ep_4,13.0,Calle_1 (5),Low,Low,Skip,36.0,0.0,54.56,3.031111111,,,,,,,,,,
Ep_4,14.0,Calle_1 (5),Low,Low,Skip,51.85,3.7,72.09,4.005,,,,,,,,,,
Ep_4,15.0,Calle_1 (2),Low,Low,Skip,60.0,0.0,40.53,2.251666667,,,,,,,,,,
Ep_4,16.0,Calle_1 (6),Low,Low,Skip,52.38,0.0,55.33,3.073888889,,,,,,,,,,
Ep_4,17.0,Calle_1 (4),Low,Low,Skip,38.46,0.0,98.58,5.476666667,,,,,,,,,,
Ep_4,18.0,Calle_1 (5),Low,Low,Skip,60.0,3.33,54.34,3.018888889,,,,,,,,,,
Ep_4,19.0,Calle_1 (1),Low,Low,Skip,40.0,0.0,52.35,2.908333333,,,,,,,,,,
Ep_4,20.0,Calle_1,Low,Low,Skip,54.84,0.0,63.71,3.539444444,,,,,,,,,,
Ep_5,1.0,Calle_1 (1),Low,Medium,Baseline,88.46,0.0,50.26,2.792222222,,,,,,,,,,
Ep_5,2.0,Calle_1 (5),Low,Medium,Baseline,80.0,0.0,55.3,3.072222222,,,,,,,,,,
Ep_5,3.0,Calle_1 (6),Low,Medium,Baseline,78.13,0.0,54.61,3.033888889,,,,,,,,,,
Ep_5,4.0,Calle_1 (2),Low,Medium,Baseline,79.17,0.0,55.72,3.095555556,,,,,,,,,,
Ep_5,5.0,Calle_1 (1),Low,Medium,Baseline,92.86,0.0,55.08,3.06,,,,,,,,,,
Ep_5,6.0,Calle_1 (4),Low,Medium,Baseline,85.29,0.0,54.97,3.053888889,,,,,,,,,,
Ep_5,7.0,Calle_1 (6),Low,Medium,Baseline,88.64,0.0,54.77,3.042777778,,,,,,,,,,
Ep_5,8.0,Calle_1 (3),Low,Medium,Baseline,81.82,0.0,54.84,3.046666667,,,,,,,,,,
Ep_5,9.0,Calle_1,Low,Medium,Baseline,83.33,0.0,55.18,3.065555556,,,,,,,,,,
Ep_5,10.0,Calle_1,Low,Medium,Baseline,85.19,0.0,55.17,3.065,,,,,,,,,,
Ep_5,11.0,Calle_1 (2),Low,Medium,Baseline,78.57,0.0,54.47,3.026111111,,,,,,,,,,
Ep_5,12.0,Calle_1 (5),Low,Medium,Baseline,78.38,0.0,55.07,3.059444444,,,,,,,,,,
Ep_5,13.0,Calle_1 (6),Low,Medium,Baseline,92.0,0.0,55.17,3.065,,,,,,,,,,
Ep_5,14.0,Calle_1 (1),Low,Medium,Baseline,82.14,0.0,55.14,3.063333333,,,,,,,,,,
Ep_5,15.0,Calle_1 (6),Low,Medium,Baseline,84.38,0.0,54.87,3.048333333,,,,,,,,,,
Ep_5,16.0,Calle_1 (3),Low,Medium,Baseline,80.0,0.0,54.85,3.047222222,,,,,,,,,,
Ep_5,17.0,Calle_1 (6),Low,Medium,Baseline,76.47,0.0,55.08,3.06,,,,,,,,,,
Ep_5,18.0,Calle_1 (2),Low,Medium,Baseline,94.74,0.0,55.02,3.056666667,,,,,,,,,,
Ep_5,19.0,Calle_1 (2),Low,Medium,Baseline,78.26,0.0,54.98,3.054444444,,,,,,,,,,
Ep_5,20.0,Calle_1 (4),Low,Medium,Baseline,92.31,0.0,55.29,3.071666667,,,,,,,,,,
