Episode,Episode _Num,Segment,Traffic ,Height ,Strategy ,Coverage (%),Recovery (%),Time (s),Energy (%),,,Episode,Strategy,Traffic,Height,Coverage(%),Recovery(%),Energy(%),Time(s)
Ep_23,4.0,Calle_1 (3),Medium,High,Micro,73.33,0.0,59.33,3.296111111,,,,,,,,,,
Ep_23,5.0,Calle_1 (4),Medium,High,Micro,67.57,0.0,59.26,3.292222222,,,,,,,,,,
Ep_23,6.0,Calle_1 (4),Medium,High,Micro,81.08,0.0,59.28,3.293333333,,,,,,,,,,
Ep_23,7.0,Calle_1 (2),Medium,High,Micro,83.33,0.0,59.26,3.292222222,,,,,,,,,,
Ep_23,8.0,Calle_1,Medium,High,Micro,75.86,0.0,58.21,3.233888889,,,,,,,,,,
Ep_23,9.0,Calle_1 (6),Medium,High,Micro,78.26,0.0,57.84,3.213333333,,,,,,,,,,
Ep_23,10.0,Calle_1 (4),Medium,High,Micro,79.31,0.0,59.36,3.297777778,,,,,,,,,,
Ep_23,11.0,Calle_1 (5),Medium,High,Micro,69.7,0.0,59.32,3.295555556,,,,,,,,,,
Ep_23,12.0,Calle_1 (3),Medium,High,Micro,76.0,0.0,59.91,3.328333333,,,,,,,,,,
Ep_23,13.0,Calle_1 (2),Medium,High,Micro,76.0,0.0,59.19,3.288333333,,,,,,,,,,
Ep_23,14.0,Calle_1 (6),Medium,High,Micro,62.5,0.0,58.94,3.274444444,,,,,,,,,,
Ep_23,15.0,Calle_1 (5),Medium,High,Micro,100.0,0.0,58.81,3.267222222,,,,,,,,,,
Ep_23,16.0,Calle_1,Medium,High,Micro,80.0,0.0,58.14,3.23,,,,,,,,,,
Ep_23,17.0,Calle_1 (2),Medium,High,Micro,83.33,0.0,57.93,3.218333333,,,,,,,,,,
Ep_23,18.0,Calle_1,Medium,High,Micro,63.16,0.0,58.97,3.276111111,,,,,,,,,,
Ep_23,19.0,Calle_1 (6),Medium,High,Micro,62.5,0.0,58.81,3.267222222,,,,,,,,,,
Ep_23,20.0,Calle_1 (3),Medium,High,Micro,81.82,0.0,59.6,3.311111111,,,,,,,,,,
Ep_24,1.0,Calle_1 (4),Medium,High,Skip,76.0,4.0,68.14,3.785555556,,,,,,,,,,
Ep_24,2.0,Calle_1 (6),Medium,High,Skip,75.0,0.0,41.88,2.326666667,,,,,,,,,,
Ep_24,3.0,Calle_1,Medium,High,Skip,65.22,0.0,55.12,3.062222222,,,,,,,,,,
Ep_24,4.0,Calle_1,Medium,High,Skip,75.0,9.38,86.79,4.821666667,,,,,,,,,,
Ep_24,5.0,Calle_1 (3),Medium,High,Skip,65.38,0.0,38.78,2.154444444,,,,,,,,,,
Ep_24,6.0,Calle_1 (5),Medium,High,Skip,56.76,18.92,108.45,6.025,,,,,,,,,,
Ep_24,7.0,Calle_1 (6),Medium,High,Skip,76.74,0.0,40.63,2.257222222,,,,,,,,,,
Ep_24,8.0,Calle_1,Medium,High,Skip,75.0,0.0,54.84,3.046666667,,,,,,,,,,
Ep_24,9.0,Calle_1 (1),Medium,High,Skip,87.88,0.0,55.44,3.08,,,,,,,,,,
Ep_24,10.0,Calle_1 (2),Medium,High,Skip,83.87,0.0,54.65,3.036111111,,,,,,,,,,
Ep_24,11.0,Calle_1 (1),Medium,High,Skip,92.31,0.0,55.49,3.082777778,,,,,,,,,,
Ep_24,12.0,Calle_1,Medium,High,Skip,80.0,6.67,79.03,4.390555556,,,,,,,,,,
Ep_24,13.0,Calle_1 (2),Medium,High,Skip,76.67,0.0,42.48,2.36,,,,,,,,,,
Ep_24,14.0,Calle_1 (3),Medium,High,Skip,51.52,18.18,107.34,5.963333333,,,,,,,,,,
Ep_24,15.0,Calle_1 (4),Medium,High,Skip,76.92,0.0,47.31,2.628333333,,,,,,,,,,
Ep_24,16.0,Calle_1 (5),Medium,High,Skip,77.27,0.0,54.63,3.035,,,,,,,,,,
Ep_24,17.0,Calle_1 (2),Medium,High,Skip,84.0,4.0,66.51,3.695,,,,,,,,,,
Ep_24,18.0,Calle_1 (6),Medium,High,Skip,77.42,6.45,72.46,4.025555556,,,,,,,,,,
Ep_24,19.0,Calle_1 (1),Medium,High,Skip,93.55,0.0,34.84,1.935555556,,,,,,,,,,
Ep_24,20.0,Calle_1 (1),Medium,High,Skip,54.17,29.17,113.59,6.310555556,,,,,,,,,,
Ep_25,1.0,Calle_1 (2),High,Low,Baseline,48.84,0.0,50.55,2.808333333,,,,,,,,,,
Ep_25,2.0,Calle_1 (2),High,Low,Baseline,44.12,0.0,55.2,3.066666667,,,,,,,,,,
Ep_25,3.0,Calle_1 (3),High,Low,Baseline,55.56,0.0,55.17,3.065,,,,,,,,,,
Ep_25,4.0,Calle_1,High,Low,Baseline,44.0,0.0,54.51,3.028333333,,,,,,,,,,
Ep_25,5.0,Calle_1 (6),High,Low,Baseline,46.43,0.0,55.25,3.069444444,,,,,,,,,,
Ep_25,6.0,Calle_1,High,Low,Baseline,54.84,0.0,55.02,3.056666667,,,,,,,,,,
Ep_25,7.0,Calle_1 (4),High,Low,Baseline,53.13,0.0,55.24,3.068888889,,,,,,,,,,
Ep_25,8.0,Calle_1 (3),High,Low,Baseline,43.48,0.0,55.09,3.060555556,,,,,,,,,,
Ep_25,9.0,Calle_1 (4),High,Low,Baseline,76.47,0.0,55.49,3.082777778,,,,,,,,,,
Ep_25,10.0,Calle_1 (5),High,Low,Baseline,42.86,0.0,54.94,3.052222222,,,,,,,,,,
Ep_25,11.0,Calle_1 (4),High,Low,Baseline,58.33,0.0,55.17,3.065,,,,,,,,,,
Ep_25,12.0,Calle_1 (5),High,Low,Baseline,28.0,0.0,54.94,3.052222222,,,,,,,,,,
Ep_25,13.0,Calle_1 (2),High,Low,Baseline,63.64,0.0,55.26,3.07,,,,,,,,,,
Ep_25,14.0,Calle_1,High,Low,Baseline,52.63,0.0,54.82,3.045555556,,,,,,,,,,
Ep_25,15.0,Calle_1,High,Low,Baseline,62.5,0.0,55.28,3.071111111,,,,,,,,,,
Ep_25,16.0,Calle_1 (3),High,Low,Baseline,33.33,0.0,55.0,3.055555556,,,,,,,,,,
Ep_25,17.0,Calle_1,High,Low,Baseline,50.0,0.0,55.14,3.063333333,,,,,,,,,,
Ep_25,18.0,Calle_1 (6),High,Low,Baseline,57.14,0.0,54.84,3.046666667,,,,,,,,,,
Ep_25,19.0,Calle_1 (3),High,Low,Baseline,46.43,0.0,55.62,3.09,,,,,,,,,,
Ep_25,20.0,Calle_1 (4),High,Low,Baseline,53.85,0.0,54.82,3.045555556,,,,,,,,,,
Ep_26,1.0,Calle_1 (2),High,Low,Hover,43.59,0.0,50.55,2.808333333,,,,,,,,,,
Ep_26,2.0,Calle_1 (4),High,Low,Hover,48.57,0.0,54.75,3.041666667,,,,,,,,,,
Ep_26,3.0,Calle_1 (1),High,Low,Hover,43.33,0.0,60.17,3.342777778,,,,,,,,,,
Ep_26,4.0,Calle_1,High,Low,Hover,61.11,0.0,65.45,3.636111111,,,,,,,,,,
Ep_26,5.0,Calle_1 (2),High,Low,Hover,65.52,0.0,54.77,3.042777778,,,,,,,,,,
Ep_26,6.0,Calle_1 (6),High,Low,Hover,31.25,0.0,55.27,3.070555556,,,,,,,,,,
Ep_26,7.0,Calle_1,High,Low,Hover,54.84,0.0,60.31,3.350555556,,,,,,,,,,
Ep_26,8.0,Calle_1 (6),High,Low,Hover,50.0,0.0,229.35,12.74166667,,,,,,,,,,
Ep_26,9.0,Calle_1 (2),High,Low,Hover,63.83,0.0,55.03,3.057222222,,,,,,,,,,
Ep_26,10.0,Calle_1,High,Low,Hover,63.89,0.0,60.17,3.342777778,,,,,,,,,,
Ep_26,11.0,Calle_1 (4),High,Low,Hover,75.0,0.0,60.12,3.34,,,,,,,,,,
Ep_26,12.0,Calle_1,High,Low,Hover,75.0,0.0,59.6,3.311111111,,,,,,,,,,
Ep_26,13.0,Calle_1 (6),High,Low,Hover,64.29,0.0,55.05,3.058333333,,,,,,,,,,
Ep_26,14.0,Calle_1 (3),High,Low,Hover,26.32,0.0,55.07,3.059444444,,,,,,,,,,
Ep_26,15.0,Calle_1 (3),High,Low,Hover,66.67,0.0,55.43,3.079444444,,,,,,,,,,
Ep_26,16.0,Calle_1 (5),High,Low,Hover,50.0,0.0,60.24,3.346666667,,,,,,,,,,
Ep_26,17.0,Calle_1 (4),High,Low,Hover,56.25,0.0,55.04,3.057777778,,,,,,,,,,
Ep_26,18.0,Calle_1,High,Low,Hover,32.0,0.0,566.41,31.46722222,,,,,,,,,,
Ep_26,19.0,Calle_1 (4),High,Low,Hover,56.52,0.0,60.63,3.368333333,,,,,,,,,,
Ep_26,20.0,Calle_1 (6),High,Low,Hover,67.86,0.0,54.61,3.033888889,,,,,,,,,,
Ep_27,1.0,Calle_1 (4),High,Low,Micro,42.0,0.0,58.36,3.242222222,,,,,,,,,,
Ep_27,2.0,Calle_1,High,Low,Micro,46.15,0.0,58.47,3.248333333,,,,,,,,,,
Ep_27,3.0,Calle_1 (4),High,Low,Micro,63.64,0.0,58.31,3.239444444,,,,,,,,,,
Ep_27,4.0,Calle_1 (2),High,Low,Micro,35.0,0.0,59.05,3.280555556,,,,,,,,,,
Ep_27,5.0,Calle_1 (2),High,Low,Micro,51.52,0.0,58.46,3.247777778,,,,,,,,,,
Ep_27,6.0,Calle_1 (3),High,Low,Micro,26.67,0.0,59.59,3.310555556,,,,,,,,,,
Ep_27,7.0,Calle_1 (2),High,Low,Micro,55.17,0.0,59.06,3.281111111,,,,,,,,,,
Ep_27,8.0,Calle_1,High,Low,Micro,59.46,0.0,59.12,3.284444444,,,,,,,,,,
Ep_27,9.0,Calle_1 (5),High,Low,Micro,67.57,0.0,59.34,3.296666667,,,,,,,,,,
Ep_27,10.0,Calle_1 (1),High,Low,Micro,43.75,0.0,58.14,3.23,,,,,,,,,,
Ep_27,11.0,Calle_1 (5),High,Low,Micro,50.0,0.0,58.5,3.25,,,,,,,,,,
Ep_27,12.0,Calle_1 (4),High,Low,Micro,54.17,0.0,59.12,3.284444444,,,,,,,,,,
Ep_27,13.0,Calle_1 (1),High,Low,Micro,71.43,0.0,58.96,3.275555556,,,,,,,,,,
Ep_27,14.0,Calle_1 (5),High,Low,Micro,42.11,0.0,59.59,3.310555556,,,,,,,,,,
Ep_27,15.0,Calle_1 (3),High,Low,Micro,69.23,0.0,58.98,3.276666667,,,,,,,,,,
Ep_27,16.0,Calle_1,High,Low,Micro,57.14,0.0,59.05,3.280555556,,,,,,,,,,
Ep_27,17.0,Calle_1 (1),High,Low,Micro,51.85,0.0,58.97,3.276111111,,,,,,,,,,
Ep_27,18.0,Calle_1,High,Low,Micro,42.86,0.0,58.61,3.256111111,,,,,,,,,,
Ep_27,19.0,Calle_1 (6),High,Low,Micro,53.85,0.0,57.85,3.213888889,,,,,,,,,,
Ep_27,20.0,Calle_1 (3),High,Low,Micro,52.38,0.0,59.28,3.293333333,,,,,,,,,,
Ep_28,1.0,Calle_1 (5),High,Low,Skip,66.67,3.03,63.71,3.539444444,,,,,,,,,,
Ep_28,2.0,Calle_1 (5),High,Low,Skip,37.84,8.11,64.6,3.588888889,,,,,,,,,,
Ep_28,3.0,Calle_1 (5),High,Low,Skip,45.16,3.23,103.11,5.728333333,,,,,,,,,,
Ep_28,4.0,Calle_1 (3),High,Low,Skip,59.46,0.0,49.98,2.776666667,,,,,,,,,,
Ep_28,5.0,Calle_1,High,Low,Skip,60.71,0.0,55.41,3.078333333,,,,,,,,,,
Ep_28,6.0,Calle_1 (1),High,Low,Skip,25.93,11.11,120.03,6.668333333,,,,,,,,,,
Ep_28,7.0,Calle_1 (4),High,Low,Skip,56.67,0.0,111.34,6.185555556,,,,,,,,,,
Ep_28,8.0,Calle_1 (4),High,Low,Skip,40.54,8.11,107.16,5.953333333,,,,,,,,,,
Ep_28,9.0,Calle_1 (3),High,Low,Skip,57.5,5.0,88.39,4.910555556,,,,,,,,,,
Ep_28,10.0,Calle_1,High,Low,Skip,50.0,2.94,73.46,4.081111111,,,,,,,,,,
Ep_28,11.0,Calle_1 (5),High,Low,Skip,42.31,0.0,32.96,1.831111111,,,,,,,,,,
Ep_28,12.0,Calle_1 (5),High,Low,Skip,51.52,0.0,55.05,3.058333333,,,,,,,,,,
Ep_28,13.0,Calle_1 (5),High,Low,Skip,67.5,0.0,81.91,4.550555556,,,,,,,,,,
Ep_28,14.0,Calle_1 (2),High,Low,Skip,42.86,0.0,83.37,4.631666667,,,,,,,,,,
Ep_28,15.0,Calle_1 (6),High,Low,Skip,55.56,0.0,47.29,2.627222222,,,,,,,,,,
Ep_28,16.0,Calle_1 (1),High,Low,Skip,33.33,4.17,120.09,6.671666667,,,,,,,,,,
Ep_28,17.0,Calle_1 (3),High,Low,Skip,50.0,0.0,42.28,2.348888889,,,,,,,,,,
Ep_28,18.0,Calle_1 (3),High,Low,Skip,36.84,5.26,62.68,3.482222222,,,,,,,,,,
Ep_28,19.0,Calle_1 (3),High,Low,Skip,50.0,0.0,51.6,2.866666667,,,,,,,,,,
Ep_28,20.0,Calle_1 (4),High,Low,Skip,58.62,0.0,52.36,2.908888889,,,,,,,,,,
Ep_29,1.0,Calle_1 (4),High,Medium,Baseline,84.38,0.0,53.77,2.987222222,,,,,,,,,,
Ep_29,2.0,Calle_1 (1),High,Medium,Baseline,62.5,0.0,54.62,3.034444444,,,,,,,,,,
Ep_29,3.0,Calle_1 (6),High,Medium,Baseline,87.88,0.0,55.45,3.080555556,,,,,,,,,,
Ep_29,4.0,Calle_1 (1),High,Medium,Baseline,67.86,0.0,55.07,3.059444444,,,,,,,,,,
Ep_29,5.0,Calle_1 (5),High,Medium,Baseline,84.62,0.0,54.86,3.047777778,,,,,,,,,,
Ep_29,6.0,Calle_1,High,Medium,Baseline,80.0,0.0,54.65,3.036111111,,,,,,,,,,
Ep_29,7.0,Calle_1 (4),High,Medium,Baseline,81.25,0.0,55.25,3.069444444,,,,,,,,,,
Ep_29,8.0,Calle_1 (2),High,Medium,Baseline,85.71,0.0,54.71,3.039444444,,,,,,,,,,
Ep_29,9.0,Calle_1 (3),High,Medium,Baseline,90.32,0.0,55.32,3.073333333,,,,,,,,,,
Ep_29,10.0,Calle_1 (4),High,Medium,Baseline,68.42,0.0,54.87,3.048333333,,,,,,,,,,
Ep_29,11.0,Calle_1 (1),High,Medium,Baseline,75.0,0.0,55.31,3.072777778,,,,,,,,,,
Ep_29,12.0,Calle_1 (5),High,Medium,Baseline,80.0,0.0,54.69,3.038333333,,,,,,,,,,
Ep_29,13.0,Calle_1,High,Medium,Baseline,78.38,0.0,55.21,3.067222222,,,,,,,,,,
Ep_29,14.0,Calle_1 (3),High,Medium,Baseline,100.0,0.0,54.59,3.032777778,,,,,,,,,,
Ep_29,15.0,Calle_1 (6),High,Medium,Baseline,87.5,0.0,55.02,3.056666667,,,,,,,,,,
Ep_29,16.0,Calle_1 (2),High,Medium,Baseline,90.32,0.0,54.84,3.046666667,,,,,,,,,,
Ep_29,17.0,Calle_1 (4),High,Medium,Baseline,100.0,0.0,55.28,3.071111111,,,,,,,,,,
Ep_29,18.0,Calle_1 (2),High,Medium,Baseline,61.11,0.0,55.25,3.069444444,,,,,,,,,,
Ep_29,19.0,Calle_1 (1),High,Medium,Baseline,95.65,0.0,54.71,3.039444444,,,,,,,,,,
Ep_29,20.0,Calle_1 (5),High,Medium,Baseline,76.47,0.0,55.41,3.078333333,,,,,,,,,,
Ep_30,1.0,Calle_1 (5),High,Medium,Hover,86.11,0.0,50.54,2.807777778,,,,,,,,,,
Ep_30,2.0,Calle_1 (4),High,Medium,Hover,77.42,0.0,54.6,3.033333333,,,,,,,,,,
Ep_30,3.0,Calle_1 (6),High,Medium,Hover,90.48,0.0,54.83,3.046111111,,,,,,,,,,
Ep_30,4.0,Calle_1 (2),High,Medium,Hover,79.55,0.0,54.47,3.026111111,,,,,,,,,,
Ep_30,5.0,Calle_1,High,Medium,Hover,82.93,0.0,54.84,3.046666667,,,,,,,,,,
Ep_30,6.0,Calle_1 (3),High,Medium,Hover,68.42,0.0,55.53,3.085,,,,,,,,,,
Ep_30,7.0,Calle_1 (3),High,Medium,Hover,90.63,0.0,55.6,3.088888889,,,,,,,,,,
Ep_30,8.0,Calle_1 (5),High,Medium,Hover,71.88,0.0,54.83,3.046111111,,,,,,,,,,
Ep_30,9.0,Calle_1 (6),High,Medium,Hover,80.56,0.0,55.19,3.066111111,,,,,,,,,,
Ep_30,10.0,Calle_1 (1),High,Medium,Hover,77.42,0.0,54.82,3.045555556,,,,,,,,,,
Ep_30,11.0,Calle_1 (4),High,Medium,Hover,79.31,0.0,54.82,3.045555556,,,,,,,,,,
Ep_30,12.0,Calle_1 (5),High,Medium,Hover,82.14,0.0,54.65,3.036111111,,,,,,,,,,
Ep_30,13.0,Calle_1 (2),High,Medium,Hover,92.0,0.0,54.89,3.049444444,,,,,,,,,,
Ep_30,14.0,Calle_1 (4),High,Medium,Hover,83.33,0.0,55.26,3.07,,,,,,,,,,
Ep_30,15.0,Calle_1 (4),High,Medium,Hover,86.96,0.0,55.45,3.080555556,,,,,,,,,,
Ep_30,16.0,Calle_1,High,Medium,Hover,68.42,0.0,54.91,3.050555556,,,,,,,,,,
Ep_30,17.0,Calle_1 (3),High,Medium,Hover,80.77,0.0,55.63,3.090555556,,,,,,,,,,
Ep_30,18.0,Calle_1 (3),High,Medium,Hover,68.0,0.0,54.94,3.052222222,,,,,,,,,,
Ep_30,19.0,Calle_1 (4),High,Medium,Hover,90.91,0.0,54.93,3.051666667,,,,,,,,,,
Ep_30,20.0,Calle_1,High,Medium,Hover,92.86,0.0,55.06,3.058888889,,,,,,,,,,
Ep_31,1.0,Calle_1 (4),High,Medium,Micro,81.4,0.0,58.57,3.253888889,,,,,,,,,,
Ep_31,2.0,Calle_1 (4),High,Medium,Micro,78.57,0.0,58.82,3.267777778,,,,,,,,,,
Ep_31,3.0,Calle_1 (4),High,Medium,Micro,78.13,0.0,57.61,3.200555556,,,,,,,,,,
Ep_31,4.0,Calle_1 (2),High,Medium,Micro,65.52,0.0,58.98,3.276666667,,,,,,,,,,
Ep_31,5.0,Calle_1 (5),High,Medium,Micro,80.65,0.0,58.67,3.259444444,,,,,,,,,,
Ep_31,6.0,Calle_1 (1),High,Medium,Micro,86.49,0.0,59.54,3.307777778,,,,,,,,,,
Ep_31,7.0,Calle_1 (1),High,Medium,Micro,81.25,0.0,59.18,3.287777778,,,,,,,,,,
Ep_31,8.0,Calle_1 (1),High,Medium,Micro,90.91,0.0,59.5,3.305555556,,,,,,,,,,
Ep_31,9.0,Calle_1 (2),High,Medium,Micro,93.75,0.0,59.14,3.285555556,,,,,,,,,,
Ep_31,10.0,Calle_1 (4),High,Medium,Micro,77.42,0.0,58.21,3.233888889,,,,,,,,,,
Ep_31,11.0,Calle_1 (3),High,Medium,Micro,89.66,0.0,58.12,3.228888889,,,,,,,,,,
Ep_31,12.0,Calle_1 (2),High,Medium,Micro,59.09,0.0,59.0,3.277777778,,,,,,,,,,
Ep_31,13.0,Calle_1,High,Medium,Micro,87.1,0.0,58.89,3.271666667,,,,,,,,,,
Ep_31,14.0,Calle_1 (4),High,Medium,Micro,72.73,0.0,59.47,3.303888889,,,,,,,,,,
Ep_31,15.0,Calle_1 (1),High,Medium,Micro,85.19,0.0,59.46,3.303333333,,,,,,,,,,
Ep_31,16.0,Calle_1 (5),High,Medium,Micro,82.35,0.0,59.03,3.279444444,,,,,,,,,,
Ep_31,17.0,Calle_1 (3),High,Medium,Micro,86.67,0.0,58.25,3.236111111,,,,,,,,,,
Ep_31,18.0,Calle_1 (6),High,Medium,Micro,76.0,0.0,58.65,3.258333333,,,,,,,,,,
Ep_31,19.0,Calle_1 (2),High,Medium,Micro,62.96,0.0,57.93,3.218333333,,,,,,,,,,
Ep_31,20.0,Calle_1 (4),High,Medium,Micro,66.67,0.0,58.59,3.255,,,,,,,,,,
Ep_32,1.0,Calle_1 (3),High,Medium,Skip,84.62,0.0,50.77,2.820555556,,,,,,,,,,
Ep_32,2.0,Calle_1 (3),High,Medium,Skip,84.85,0.0,54.85,3.047222222,,,,,,,,,,
Ep_32,3.0,Calle_1,High,Medium,Skip,82.76,0.0,54.9,3.05,,,,,,,,,,
Ep_32,4.0,Calle_1 (5),High,Medium,Skip,91.67,0.0,54.84,3.046666667,,,,,,,,,,
Ep_32,5.0,Calle_1 (4),High,Medium,Skip,81.4,0.0,59.37,3.298333333,,,,,,,,,,
Ep_32,6.0,Calle_1 (2),High,Medium,Skip,56.0,20.0,126.35,7.019444444,,,,,,,,,,
Ep_32,7.0,Calle_1 (5),High,Medium,Skip,75.61,0.0,51.64,2.868888889,,,,,,,,,,
Ep_32,8.0,Calle_1,High,Medium,Skip,55.56,16.67,107.95,5.997222222,,,,,,,,,,
Ep_32,9.0,Calle_1 (4),High,Medium,Skip,82.22,0.0,34.5,1.916666667,,,,,,,,,,
Ep_32,10.0,Calle_1 (3),High,Medium,Skip,66.67,11.11,97.19,5.399444444,,,,,,,,,,
Ep_32,11.0,Calle_1 (1),High,Medium,Skip,82.86,0.0,39.09,2.171666667,,,,,,,,,,
Ep_32,12.0,Calle_1 (5),High,Medium,Skip,75.76,0.0,54.89,3.049444444,,,,,,,,,,
Ep_32,13.0,Calle_1 (6),High,Medium,Skip,84.21,0.0,55.76,3.097777778,,,,,,,,,,
Ep_32,14.0,Calle_1,High,Medium,Skip,56.0,24.0,122.32,6.795555556,,,,,,,,,,
Ep_32,15.0,Calle_1 (2),High,Medium,Skip,63.16,15.79,92.54,5.141111111,,,,,,,,,,
Ep_32,16.0,Calle_1 (3),High,Medium,Skip,54.29,20.0,113.86,6.325555556,,,,,,,,,,
Ep_32,17.0,Calle_1 (1),High,Medium,Skip,88.0,0.0,44.31,2.461666667,,,,,,,,,,
Ep_32,18.0,Calle_1,High,Medium,Skip,83.33,11.11,86.9,4.827777778,,,,,,,,,,
Ep_32,19.0,Calle_1 (6),High,Medium,Skip,66.67,0.0,30.74,1.707777778,,,,,,,,,,
Ep_32,20.0,Calle_1 (5),High,Medium,Skip,82.61,17.39,94.3,5.238888889,,,,,,,,,,
Ep_33,1.0,Calle_1 (3),High,High,Baseline,87.88,0.0,54.02,3.001111111,,,,,,,,,,
Ep_33,2.0,Calle_1 (3),High,High,Baseline,89.47,0.0,54.99,3.055,,,,,,,,,,
Ep_33,3.0,Calle_1,High,High,Baseline,72.97,0.0,54.9,3.05,,,,,,,,,,
Ep_33,4.0,Calle_1 (5),High,High,Baseline,65.63,0.0,54.8,3.044444444,,,,,,,,,,
Ep_33,5.0,Calle_1 (1),High,High,Baseline,65.12,0.0,55.51,3.083888889,,,,,,,,,,
Ep_33,6.0,Calle_1 (1),High,High,Baseline,72.73,0.0,54.53,3.029444444,,,,,,,,,,
Ep_33,7.0,Calle_1 (4),High,High,Baseline,80.77,0.0,55.37,3.076111111,,,,,,,,,,
Ep_33,8.0,Calle_1 (5),High,High,Baseline,57.5,0.0,54.93,3.051666667,,,,,,,,,,
Ep_33,9.0,Calle_1 (1),High,High,Baseline,87.1,0.0,55.17,3.065,,,,,,,,,,
Ep_33,10.0,Calle_1,High,High,Baseline,85.71,0.0,54.68,3.037777778,,,,,,,,,,
Ep_33,11.0,Calle_1 (4),High,High,Baseline,90.63,0.0,55.37,3.076111111,,,,,,,,,,
Ep_33,12.0,Calle_1 (2),High,High,Baseline,77.42,0.0,55.13,3.062777778,,,,,,,,,,
Ep_33,13.0,Calle_1 (1),High,High,Baseline,67.74,0.0,55.14,3.063333333,,,,,,,,,,
Ep_33,14.0,Calle_1 (6),High,High,Baseline,70.37,0.0,54.84,3.046666667,,,,,,,,,,
Ep_33,15.0,Calle_1 (1),High,High,Baseline,86.36,0.0,55.23,3.068333333,,,,,,,,,,
Ep_33,16.0,Calle_1 (4),High,High,Baseline,93.33,0.0,54.87,3.048333333,,,,,,,,,,
Ep_33,17.0,Calle_1 (5),High,High,Baseline,72.0,0.0,55.1,3.061111111,,,,,,,,,,
Ep_33,18.0,Calle_1 (6),High,High,Baseline,85.0,0.0,55.08,3.06,,,,,,,,,,
Ep_33,19.0,Calle_1,High,High,Baseline,68.97,0.0,55.44,3.08,,,,,,,,,,
Ep_33,20.0,Calle_1 (3),High,High,Baseline,88.89,0.0,54.73,3.040555556,,,,,,,,,,
Ep_34,1.0,Calle_1 (1),High,High,Hover,83.33,0.0,50.39,2.799444444,,,,,,,,,,
Ep_34,2.0,Calle_1 (4),High,High,Hover,75.68,0.0,54.99,3.055,,,,,,,,,,
Ep_34,3.0,Calle_1 (1),High,High,Hover,74.19,0.0,55.06,3.058888889,,,,,,,,,,
Ep_34,4.0,Calle_1 (1),High,High,Hover,75.0,0.0,54.87,3.048333333,,,,,,,,,,
Ep_34,5.0,Calle_1 (2),High,High,Hover,80.56,0.0,55.27,3.070555556,,,,,,,,,,
Ep_34,6.0,Calle_1 (2),High,High,Hover,88.24,0.0,55.14,3.063333333,,,,,,,,,,
Ep_34,7.0,Calle_1,High,High,Hover,79.31,0.0,55.08,3.06,,,,,,,,,,
Ep_34,8.0,Calle_1 (1),High,High,Hover,78.79,0.0,54.62,3.034444444,,,,,,,,,,
Ep_34,9.0,Calle_1 (4),High,High,Hover,78.38,0.0,55.09,3.060555556,,,,,,,,,,
Ep_34,10.0,Calle_1 (6),High,High,Hover,59.09,0.0,55.11,3.061666667,,,,,,,,,,
Ep_34,11.0,Calle_1 (6),High,High,Hover,73.08,0.0,55.49,3.082777778,,,,,,,,,,
Ep_34,12.0,Calle_1,High,High,Hover,82.76,0.0,55.18,3.065555556,,,,,,,,,,
Ep_34,13.0,Calle_1 (5),High,High,Hover,74.07,0.0,55.04,3.057777778,,,,,,,,,,
Ep_34,14.0,Calle_1 (5),High,High,Hover,78.57,0.0,54.86,3.047777778,,,,,,,,,,
Ep_34,15.0,Calle_1 (4),High,High,Hover,86.21,0.0,55.38,3.076666667,,,,,,,,,,
Ep_34,16.0,Calle_1,High,High,Hover,47.83,0.0,54.92,3.051111111,,,,,,,,,,
Ep_34,17.0,Calle_1 (3),High,High,Hover,80.65,0.0,55.39,3.077222222,,,,,,,,,,
Ep_34,18.0,Calle_1 (3),High,High,Hover,73.91,0.0,54.69,3.038333333,,,,,,,,,,
Ep_34,19.0,Calle_1 (3),High,High,Hover,81.82,0.0,55.13,3.062777778,,,,,,,,,,
Ep_34,20.0,Calle_1 (1),High,High,Hover,59.09,0.0,54.67,3.037222222,,,,,,,,,,
Ep_35,1.0,Calle_1,High,High,Micro,96.88,0.0,58.67,3.259444444,,,,,,,,,,
Ep_35,2.0,Calle_1 (6),High,High,Micro,67.74,0.0,58.84,3.268888889,,,,,,,,,,
Ep_35,3.0,Calle_1 (2),High,High,Micro,78.57,0.0,58.5,3.25,,,,,,,,,,
Ep_35,4.0,Calle_1,High,High,Micro,46.43,0.0,58.87,3.270555556,,,,,,,,,,
Ep_35,5.0,Calle_1 (6),High,High,Micro,57.5,0.0,58.77,3.265,,,,,,,,,,
Ep_35,6.0,Calle_1 (6),High,High,Micro,79.41,0.0,59.61,3.311666667,,,,,,,,,,
Ep_35,7.0,Calle_1 (3),High,High,Micro,82.86,0.0,58.83,3.268333333,,,,,,,,,,
Ep_35,8.0,Calle_1 (4),High,High,Micro,51.72,0.0,59.42,3.301111111,,,,,,,,,,
Ep_35,9.0,Calle_1 (3),High,High,Micro,93.94,0.0,58.86,3.27,,,,,,,,,,
Ep_35,10.0,Calle_1 (2),High,High,Micro,90.91,0.0,57.84,3.213333333,,,,,,,,,,
Ep_35,11.0,Calle_1 (6),High,High,Micro,77.5,0.0,58.16,3.231111111,,,,,,,,,,
Ep_35,12.0,Calle_1 (1),High,High,Micro,60.0,0.0,58.95,3.275,,,,,,,,,,
